event_count,event_code,game_time,title,world,accuracy_group
1,2000,0,Welcome to Lost Lagoon!,NONE,NA
1,2000,0,Magma Peak - Level 1,MAGMAPEAK,NA
1,2000,0,Sandcastle Builder (Activity),MAGMAPEAK,NA
2,3010,53,Sandcastle Builder (Activity),MAGMAPEAK,NA
3,3110,6972,Sandcastle Builder (Activity),MAGMAPEAK,NA
4,4070,9991,Sandcastle Builder (Activity),MAGMAPEAK,NA
5,4070,10622,Sandcastle Builder (Activity),MAGMAPEAK,NA
6,4070,11255,Sandcastle Builder (Activity),MAGMAPEAK,NA
7,4070,11689,Sandcastle Builder (Activity),MAGMAPEAK,NA
8,4070,12272,Sandcastle Builder (Activity),MAGMAPEAK,NA
9,4070,12672,Sandcastle Builder (Activity),MAGMAPEAK,NA
10,4070,13389,Sandcastle Builder (Activity),MAGMAPEAK,NA
11,4070,13639,Sandcastle Builder (Activity),MAGMAPEAK,NA
12,4070,13872,Sandcastle Builder (Activity),MAGMAPEAK,NA
13,4070,14122,Sandcastle Builder (Activity),MAGMAPEAK,NA
14,4070,14356,Sandcastle Builder (Activity),MAGMAPEAK,NA
15,4070,14622,Sandcastle Builder (Activity),MAGMAPEAK,NA
16,4070,14889,Sandcastle Builder (Activity),MAGMAPEAK,NA
17,3010,14956,Sandcastle Builder (Activity),MAGMAPEAK,NA
18,4070,15306,Sandcastle Builder (Activity),MAGMAPEAK,NA
19,4070,15539,Sandcastle Builder (Activity),MAGMAPEAK,NA
20,4070,16089,Sandcastle Builder (Activity),MAGMAPEAK,NA
21,4070,16672,Sandcastle Builder (Activity),MAGMAPEAK,NA
22,3110,17056,Sandcastle Builder (Activity),MAGMAPEAK,NA
23,4070,17289,Sandcastle Builder (Activity),MAGMAPEAK,NA
24,4070,17489,Sandcastle Builder (Activity),MAGMAPEAK,NA
25,4070,17839,Sandcastle Builder (Activity),MAGMAPEAK,NA
26,4070,18093,Sandcastle Builder (Activity),MAGMAPEAK,NA
27,4070,18273,Sandcastle Builder (Activity),MAGMAPEAK,NA
28,4070,18573,Sandcastle Builder (Activity),MAGMAPEAK,NA
29,3010,18956,Sandcastle Builder (Activity),MAGMAPEAK,NA
30,4070,19773,Sandcastle Builder (Activity),MAGMAPEAK,NA
31,3110,20989,Sandcastle Builder (Activity),MAGMAPEAK,NA
32,4070,21373,Sandcastle Builder (Activity),MAGMAPEAK,NA
33,4070,22440,Sandcastle Builder (Activity),MAGMAPEAK,NA
34,4070,23323,Sandcastle Builder (Activity),MAGMAPEAK,NA
35,4070,23540,Sandcastle Builder (Activity),MAGMAPEAK,NA
36,4070,23740,Sandcastle Builder (Activity),MAGMAPEAK,NA
37,4070,23973,Sandcastle Builder (Activity),MAGMAPEAK,NA
38,4070,24423,Sandcastle Builder (Activity),MAGMAPEAK,NA
39,4070,24773,Sandcastle Builder (Activity),MAGMAPEAK,NA
40,3010,25040,Sandcastle Builder (Activity),MAGMAPEAK,NA
41,4070,25190,Sandcastle Builder (Activity),MAGMAPEAK,NA
42,3110,27123,Sandcastle Builder (Activity),MAGMAPEAK,NA
43,4070,27540,Sandcastle Builder (Activity),MAGMAPEAK,NA
44,4070,28307,Sandcastle Builder (Activity),MAGMAPEAK,NA
45,4070,28790,Sandcastle Builder (Activity),MAGMAPEAK,NA
46,4090,29685,Sandcastle Builder (Activity),MAGMAPEAK,NA
47,3010,29685,Sandcastle Builder (Activity),MAGMAPEAK,NA
48,3110,31757,Sandcastle Builder (Activity),MAGMAPEAK,NA
49,4070,32624,Sandcastle Builder (Activity),MAGMAPEAK,NA
50,4070,33074,Sandcastle Builder (Activity),MAGMAPEAK,NA
51,4070,33424,Sandcastle Builder (Activity),MAGMAPEAK,NA
52,4070,33691,Sandcastle Builder (Activity),MAGMAPEAK,NA
53,4070,33724,Sandcastle Builder (Activity),MAGMAPEAK,NA
54,4070,34124,Sandcastle Builder (Activity),MAGMAPEAK,NA
55,4030,34324,Sandcastle Builder (Activity),MAGMAPEAK,NA
56,4035,34390,Sandcastle Builder (Activity),MAGMAPEAK,NA
57,4070,34541,Sandcastle Builder (Activity),MAGMAPEAK,NA
58,4030,35857,Sandcastle Builder (Activity),MAGMAPEAK,NA
59,4035,35924,Sandcastle Builder (Activity),MAGMAPEAK,NA
60,4070,36075,Sandcastle Builder (Activity),MAGMAPEAK,NA
61,4070,36274,Sandcastle Builder (Activity),MAGMAPEAK,NA
62,4070,36441,Sandcastle Builder (Activity),MAGMAPEAK,NA
63,4070,36608,Sandcastle Builder (Activity),MAGMAPEAK,NA
64,4030,36808,Sandcastle Builder (Activity),MAGMAPEAK,NA
65,4035,36875,Sandcastle Builder (Activity),MAGMAPEAK,NA
66,4070,37024,Sandcastle Builder (Activity),MAGMAPEAK,NA
67,4070,37207,Sandcastle Builder (Activity),MAGMAPEAK,NA
68,4070,37407,Sandcastle Builder (Activity),MAGMAPEAK,NA
69,4030,37607,Sandcastle Builder (Activity),MAGMAPEAK,NA
70,4035,37691,Sandcastle Builder (Activity),MAGMAPEAK,NA
71,4030,37824,Sandcastle Builder (Activity),MAGMAPEAK,NA
72,4035,37891,Sandcastle Builder (Activity),MAGMAPEAK,NA
73,4030,37999,Sandcastle Builder (Activity),MAGMAPEAK,NA
74,4035,38074,Sandcastle Builder (Activity),MAGMAPEAK,NA
75,4070,38207,Sandcastle Builder (Activity),MAGMAPEAK,NA
76,4030,38424,Sandcastle Builder (Activity),MAGMAPEAK,NA
77,4035,38491,Sandcastle Builder (Activity),MAGMAPEAK,NA
78,4070,38608,Sandcastle Builder (Activity),MAGMAPEAK,NA
79,4030,38824,Sandcastle Builder (Activity),MAGMAPEAK,NA
80,4035,38941,Sandcastle Builder (Activity),MAGMAPEAK,NA
81,4030,39725,Sandcastle Builder (Activity),MAGMAPEAK,NA
82,4035,39824,Sandcastle Builder (Activity),MAGMAPEAK,NA
83,4030,41041,Sandcastle Builder (Activity),MAGMAPEAK,NA
84,4035,41174,Sandcastle Builder (Activity),MAGMAPEAK,NA
85,4030,42441,Sandcastle Builder (Activity),MAGMAPEAK,NA
86,4035,42558,Sandcastle Builder (Activity),MAGMAPEAK,NA
87,4070,43741,Sandcastle Builder (Activity),MAGMAPEAK,NA
88,4030,44425,Sandcastle Builder (Activity),MAGMAPEAK,NA
89,4035,44541,Sandcastle Builder (Activity),MAGMAPEAK,NA
90,4070,45542,Sandcastle Builder (Activity),MAGMAPEAK,NA
91,4030,46141,Sandcastle Builder (Activity),MAGMAPEAK,NA
92,4035,46308,Sandcastle Builder (Activity),MAGMAPEAK,NA
93,4030,47341,Sandcastle Builder (Activity),MAGMAPEAK,NA
94,4035,47492,Sandcastle Builder (Activity),MAGMAPEAK,NA
95,4030,47858,Sandcastle Builder (Activity),MAGMAPEAK,NA
96,4035,47975,Sandcastle Builder (Activity),MAGMAPEAK,NA
97,4030,48209,Sandcastle Builder (Activity),MAGMAPEAK,NA
98,4035,48325,Sandcastle Builder (Activity),MAGMAPEAK,NA
