sid,schid,distid,al_grp_avg,al_sr_grp_avg,al_is_grp_avg,e_ma_grp_avg,e_lit_ln_grp_avg,e_lit_ls_grp_avg,gender,ethnic_cd,al_admn_cd,al_atmpt_cd,al_s_ravg,al_i_savg,al_to_tavg,e_ma_admn_cd,e_ma_atmpt_cd,e_ma_to_tscore,e_lit_ln_atmpt_cd,e_lit_ln_admn_cd,e_lit_l_ncorr,e_lit_ls_atmpt_cd,e_lit_ls_admn_cd,e_lit_l_scorr
1,66,29,Y,Y,Y,Y,Y,Y,M,W,0,Y,3,3.8,3.2667,0,Y,1,Y,0,16,Y,0,0
2,32,12,Y,Y,Y,Y,Y,Y,M,M,0,Y,1.5,1,1.3333,0,Y,8,Y,0,9,Y,0,0
3,357,130,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.4,4.2,3.6667,0,Y,7,Y,0,7,Y,0,3
4,156,79,Y,Y,Y,Y,Y,Y,M,A,0,Y,4.6,5,4.7333,0,Y,10,Y,0,7,Y,0,3
5,282,124,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.8,5,4.8667,0,Y,5,Y,0,32,Y,0,4
6,58,24,Y,Y,Y,Y,N,N,M,H,0,Y,2.2,2,2.1333,0,Y,7,N,1,NA,N,1,NA
7,428,151,Y,Y,Y,Y,Y,Y,F,W,0,Y,5,5,5,0,Y,13,Y,0,6,Y,0,10
8,501,172,Y,Y,Y,Y,Y,Y,F,A,0,Y,4.6,5,4.7333,0,Y,7,Y,0,35,Y,0,14
9,20,10,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.3,5,4.5333,0,Y,10,Y,0,37,Y,0,19
10,604,38,Y,Y,Y,Y,Y,Y,F,H,0,Y,4.8,4.8,4.8,0,Y,16,Y,0,5,Y,0,5
11,18,10,Y,Y,Y,N,N,N,F,W,0,Y,3.4,4,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,54,21,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.9,4,3.9333,0,Y,4,Y,0,3,Y,0,0
13,171,82,Y,Y,Y,Y,Y,Y,F,W,0,Y,2.4,3.6,2.8,0,Y,8,Y,0,1,Y,0,0
14,427,151,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.2,4,4.1333,0,Y,15,Y,0,3,Y,0,36
15,438,156,Y,Y,Y,Y,Y,Y,M,M,0,Y,5,5,5,0,Y,15,Y,0,39,Y,0,22
16,719,18,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.3,4,3.5333,0,Y,7,Y,0,27,Y,0,17
17,623,158,Y,Y,Y,Y,Y,Y,M,W,0,Y,3,3.4,3.1333,0,Y,11,Y,0,10,Y,0,2
18,206,89,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.9,4.6,4.1333,0,Y,15,Y,0,41,Y,0,27
19,160,80,Y,Y,Y,Y,Y,Y,F,H,0,Y,3.4,3.2,3.3333,0,Y,9,Y,0,34,Y,0,13
20,135,72,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.9,3.8,3.8667,0,Y,7,Y,0,0,Y,0,0
21,478,168,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.1,5,4.4,0,Y,8,Y,0,30,Y,0,32
22,190,88,Y,Y,Y,Y,Y,Y,M,W,0,Y,4,4.4,4.1429,0,Y,13,Y,0,40,Y,0,28
23,725,11,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.5,3,3.3333,0,Y,10,Y,0,0,Y,0,0
24,450,188,Y,Y,Y,Y,Y,Y,F,W,0,Y,5,5,5,0,Y,13,Y,0,59,Y,0,37
25,599,168,Y,Y,Y,Y,Y,Y,F,W,0,Y,2.1,4.4,2.8,0,Y,7,Y,0,25,Y,0,2
26,203,89,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,4,4,0,Y,10,Y,0,35,Y,0,9
27,397,23,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.3,3.8,3.4667,0,Y,11,Y,0,26,Y,0,17
28,558,76,Y,Y,Y,Y,Y,Y,M,W,0,Y,5,4.6,4.8667,0,Y,10,Y,0,55,Y,0,35
29,482,172,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.4,5,4.6,0,Y,15,Y,0,5,Y,0,23
30,515,181,Y,Y,Y,Y,Y,Y,F,W,0,Y,3,3.4,3.1333,0,Y,9,Y,0,43,Y,0,40
31,559,80,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.8,4.4,4,0,Y,4,Y,0,12,Y,0,6
32,131,71,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,4,4,0,Y,9,Y,0,52,Y,0,27
33,559,80,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.9,4.6,4.1333,0,Y,10,Y,0,26,Y,0,8
34,25,11,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.8,5,4.2,0,Y,5,Y,0,0,Y,0,0
35,433,152,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.9,5,4.2667,0,Y,6,Y,0,29,Y,0,28
36,495,172,Y,Y,Y,Y,Y,Y,F,W,0,Y,4,4,4,0,Y,9,Y,0,40,Y,0,9
37,203,89,Y,Y,Y,Y,Y,Y,F,W,0,Y,4.6,5,4.7143,0,Y,13,Y,0,38,Y,0,13
38,50,17,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.6,4,3.7333,0,Y,10,Y,0,0,Y,0,3
39,298,124,Y,Y,Y,Y,Y,Y,M,W,0,Y,4,4.2,4.0667,0,Y,9,Y,0,46,Y,0,25
40,447,188,Y,Y,Y,Y,Y,Y,M,H,0,Y,3.2,3.6,3.3333,0,Y,12,Y,0,39,Y,0,28
41,230,102,Y,Y,Y,Y,Y,Y,M,W,0,Y,3.9,4,3.9333,0,Y,12,Y,0,2,Y,0,0
42,412,137,Y,Y,Y,Y,Y,Y,F,H,0,Y,5,5,5,0,Y,7,Y,0,1,Y,0,1
43,63,27,Y,Y,Y,Y,Y,Y,F,P,0,Y,2.9,3.8,3.2,0,Y,0,Y,0,19,Y,0,0
44,64,28,Y,Y,Y,N,N,N,F,W,0,Y,4.7778,4.8,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,230,102,Y,Y,Y,Y,Y,Y,F,H,0,Y,3.6,3,3.4,0,Y,8,Y,0,2,Y,0,0
46,636,151,Y,Y,Y,Y,Y,Y,M,H,0,Y,1.9,2,1.9333,0,Y,6,Y,0,0,Y,0,0
47,184,83,Y,Y,Y,Y,Y,Y,M,W,0,Y,4.3,5,4.5333,0,Y,12,Y,0,18,Y,0,1
48,427,151,Y,Y,Y,Y,Y,Y,M,W,0,Y,2,2.6,2.2,0,Y,6,Y,0,6,Y,0,0
49,372,130,Y,Y,Y,Y,Y,Y,F,H,0,Y,1.6,3,2.0667,0,Y,4,Y,0,3,Y,0,0
50,477,168,Y,Y,Y,Y,Y,Y,M,W,0,Y,2,2,2,0,Y,6,Y,0,0,Y,0,0
51,169,81,Y,Y,Y,Y,Y,Y,M,W,0,Y,2.9,4,3.2667,0,Y,14,Y,0,13,Y,0,7
52,443,162,N,N,N,Y,Y,Y,M,H,NA,NA,NA,NA,NA,0,Y,2,Y,0,0,Y,0,0
53,430,152,Y,Y,Y,Y,Y,Y,F,W,0,Y,3.9,5,4.2667,0,Y,10,Y,0,6,Y,0,0
